Time: 2025-01-17 11:50:37, RAM: 43.0%, CPU: 11.6%
Time: 2025-01-17 11:50:42, RAM: 43.0%, CPU: 12.1%
Time: 2025-01-17 11:50:47, RAM: 43.0%, CPU: 11.7%
Time: 2025-01-17 11:50:52, RAM: 43.0%, CPU: 11.4%
Time: 2025-01-17 11:50:57, RAM: 43.0%, CPU: 12.0%
Time: 2025-01-17 11:51:02, RAM: 43.1%, CPU: 11.4%
Time: 2025-01-17 11:51:07, RAM: 43.1%, CPU: 11.6%
Time: 2025-01-17 11:51:12, RAM: 43.1%, CPU: 11.4%
Time: 2025-01-17 11:51:17, RAM: 43.1%, CPU: 11.9%
Time: 2025-01-17 11:51:22, RAM: 43.1%, CPU: 12.1%
Time: 2025-01-17 11:51:27, RAM: 43.1%, CPU: 12.0%
Time: 2025-01-17 11:51:32, RAM: 43.1%, CPU: 11.3%
Time: 2025-01-17 11:51:37, RAM: 43.1%, CPU: 10.7%
Time: 2025-01-17 11:51:42, RAM: 43.1%, CPU: 12.5%
Time: 2025-01-17 11:51:47, RAM: 43.1%, CPU: 11.4%
Time: 2025-01-17 11:51:52, RAM: 43.1%, CPU: 12.1%
Time: 2025-01-17 11:51:57, RAM: 43.1%, CPU: 11.9%
Time: 2025-01-17 11:52:02, RAM: 43.2%, CPU: 12.3%
Time: 2025-01-17 11:52:07, RAM: 43.2%, CPU: 12.6%
Time: 2025-01-17 11:52:12, RAM: 43.2%, CPU: 11.6%
Time: 2025-01-17 11:52:17, RAM: 43.2%, CPU: 11.9%
Time: 2025-01-17 11:52:22, RAM: 43.2%, CPU: 10.9%
Time: 2025-01-17 11:52:27, RAM: 43.2%, CPU: 11.9%
Time: 2025-01-17 11:52:32, RAM: 43.2%, CPU: 11.7%
Time: 2025-01-17 11:52:37, RAM: 43.2%, CPU: 11.6%
Time: 2025-01-17 11:52:42, RAM: 43.2%, CPU: 11.3%
Time: 2025-01-17 11:52:47, RAM: 43.2%, CPU: 11.8%
Time: 2025-01-17 11:52:52, RAM: 43.2%, CPU: 11.2%
Time: 2025-01-17 11:52:57, RAM: 43.2%, CPU: 12.3%
Time: 2025-01-17 11:53:02, RAM: 43.3%, CPU: 11.2%
Time: 2025-01-17 11:53:07, RAM: 43.3%, CPU: 12.6%
Time: 2025-01-17 11:53:12, RAM: 43.3%, CPU: 12.3%
Time: 2025-01-17 11:53:17, RAM: 43.3%, CPU: 11.9%
Time: 2025-01-17 11:53:22, RAM: 43.3%, CPU: 11.9%
Time: 2025-01-17 11:53:27, RAM: 43.3%, CPU: 12.0%
Time: 2025-01-17 11:53:32, RAM: 43.3%, CPU: 11.1%
Time: 2025-01-17 11:53:37, RAM: 43.3%, CPU: 12.2%
Time: 2025-01-17 11:53:42, RAM: 43.3%, CPU: 11.8%
Time: 2025-01-17 11:53:47, RAM: 43.3%, CPU: 11.7%
Time: 2025-01-17 11:53:52, RAM: 43.3%, CPU: 12.0%
Time: 2025-01-17 11:53:57, RAM: 43.3%, CPU: 11.8%
Time: 2025-01-17 11:54:02, RAM: 43.3%, CPU: 11.6%
Time: 2025-01-17 11:54:07, RAM: 43.3%, CPU: 12.1%
Time: 2025-01-17 11:54:12, RAM: 43.3%, CPU: 10.8%
Time: 2025-01-17 11:54:17, RAM: 43.3%, CPU: 11.4%
Time: 2025-01-17 11:54:22, RAM: 43.3%, CPU: 11.4%
Time: 2025-01-17 11:54:27, RAM: 43.3%, CPU: 11.8%
Time: 2025-01-17 11:54:32, RAM: 43.3%, CPU: 10.2%
Time: 2025-01-17 11:54:37, RAM: 43.3%, CPU: 10.6%
Time: 2025-01-17 11:54:42, RAM: 43.3%, CPU: 12.0%
Time: 2025-01-17 11:54:47, RAM: 43.3%, CPU: 11.0%
Time: 2025-01-17 11:54:52, RAM: 43.3%, CPU: 10.3%
Time: 2025-01-17 11:54:57, RAM: 43.3%, CPU: 11.8%
Time: 2025-01-17 11:55:02, RAM: 43.4%, CPU: 11.2%
Time: 2025-01-17 11:55:07, RAM: 43.3%, CPU: 11.4%
Time: 2025-01-17 11:55:12, RAM: 43.3%, CPU: 11.9%
Time: 2025-01-17 11:55:17, RAM: 43.3%, CPU: 11.1%
Time: 2025-01-17 11:55:22, RAM: 43.3%, CPU: 10.7%
Time: 2025-01-17 11:55:27, RAM: 43.3%, CPU: 11.7%
Time: 2025-01-17 11:55:32, RAM: 43.3%, CPU: 11.8%
Time: 2025-01-17 11:55:37, RAM: 43.3%, CPU: 11.4%
Time: 2025-01-17 11:55:42, RAM: 43.3%, CPU: 11.2%
Time: 2025-01-17 11:55:47, RAM: 43.3%, CPU: 11.5%
Time: 2025-01-17 11:55:52, RAM: 43.3%, CPU: 11.7%
Time: 2025-01-17 11:55:57, RAM: 43.3%, CPU: 11.4%
Time: 2025-01-17 11:56:02, RAM: 43.4%, CPU: 12.1%
Time: 2025-01-17 11:56:07, RAM: 43.4%, CPU: 11.5%
Time: 2025-01-17 11:56:12, RAM: 43.4%, CPU: 11.4%
Time: 2025-01-17 11:56:17, RAM: 43.4%, CPU: 12.2%
Time: 2025-01-17 11:56:22, RAM: 43.3%, CPU: 11.5%
Time: 2025-01-17 11:56:27, RAM: 43.3%, CPU: 11.6%
Time: 2025-01-17 11:56:32, RAM: 43.3%, CPU: 11.5%
Time: 2025-01-17 11:56:37, RAM: 43.3%, CPU: 11.3%
Time: 2025-01-17 11:56:42, RAM: 43.3%, CPU: 11.8%
Time: 2025-01-17 11:56:47, RAM: 43.3%, CPU: 11.8%
Time: 2025-01-17 11:56:53, RAM: 43.3%, CPU: 10.8%
Time: 2025-01-17 11:56:58, RAM: 43.3%, CPU: 11.4%
Time: 2025-01-17 11:57:03, RAM: 43.4%, CPU: 11.4%
Time: 2025-01-17 11:57:08, RAM: 43.4%, CPU: 11.2%
Time: 2025-01-17 11:57:13, RAM: 43.4%, CPU: 12.0%
Time: 2025-01-17 11:57:18, RAM: 43.4%, CPU: 11.5%
Time: 2025-01-17 11:57:23, RAM: 43.4%, CPU: 11.2%
Time: 2025-01-17 11:57:28, RAM: 43.4%, CPU: 11.0%
Time: 2025-01-17 11:57:33, RAM: 43.3%, CPU: 11.7%
Time: 2025-01-17 11:57:38, RAM: 43.3%, CPU: 10.8%
Time: 2025-01-17 11:57:43, RAM: 43.3%, CPU: 12.5%
Time: 2025-01-17 11:57:48, RAM: 43.3%, CPU: 11.4%
Time: 2025-01-17 11:57:53, RAM: 43.3%, CPU: 12.0%
Time: 2025-01-17 11:57:58, RAM: 43.4%, CPU: 11.3%
Time: 2025-01-17 11:58:03, RAM: 43.4%, CPU: 11.9%
Time: 2025-01-17 11:58:08, RAM: 43.4%, CPU: 11.5%
Time: 2025-01-17 11:58:13, RAM: 43.4%, CPU: 11.2%
Time: 2025-01-17 11:58:18, RAM: 43.4%, CPU: 11.2%
Time: 2025-01-17 11:58:23, RAM: 43.4%, CPU: 11.3%
Time: 2025-01-17 11:58:28, RAM: 43.4%, CPU: 10.8%
Time: 2025-01-17 11:58:33, RAM: 43.4%, CPU: 11.4%
Time: 2025-01-17 11:58:38, RAM: 43.4%, CPU: 10.7%
Time: 2025-01-17 11:58:43, RAM: 43.4%, CPU: 11.5%
Time: 2025-01-17 11:58:48, RAM: 43.3%, CPU: 12.4%
Time: 2025-01-17 11:58:53, RAM: 43.3%, CPU: 11.1%
Time: 2025-01-17 11:58:58, RAM: 43.3%, CPU: 11.4%
Time: 2025-01-17 11:59:03, RAM: 43.5%, CPU: 12.0%
Time: 2025-01-17 11:59:08, RAM: 43.4%, CPU: 11.4%
Time: 2025-01-17 11:59:13, RAM: 43.4%, CPU: 11.7%
Time: 2025-01-17 11:59:18, RAM: 43.4%, CPU: 11.7%
Time: 2025-01-17 11:59:23, RAM: 43.4%, CPU: 11.6%
Time: 2025-01-17 11:59:28, RAM: 43.4%, CPU: 11.4%
Time: 2025-01-17 11:59:33, RAM: 43.4%, CPU: 11.0%
Time: 2025-01-17 11:59:38, RAM: 43.4%, CPU: 11.5%
Time: 2025-01-17 11:59:43, RAM: 43.4%, CPU: 11.8%
Time: 2025-01-17 11:59:48, RAM: 43.4%, CPU: 11.7%
Time: 2025-01-17 11:59:53, RAM: 43.4%, CPU: 11.7%
Time: 2025-01-17 11:59:58, RAM: 43.4%, CPU: 11.8%
Time: 2025-01-17 12:00:03, RAM: 43.4%, CPU: 12.3%
Time: 2025-01-17 12:00:08, RAM: 43.3%, CPU: 12.0%
Time: 2025-01-17 12:00:13, RAM: 43.3%, CPU: 11.4%
Time: 2025-01-17 12:00:18, RAM: 43.3%, CPU: 11.4%
Time: 2025-01-17 12:00:23, RAM: 43.4%, CPU: 11.6%
Time: 2025-01-17 12:00:28, RAM: 43.4%, CPU: 12.1%
Time: 2025-01-17 12:00:33, RAM: 43.4%, CPU: 11.3%
Time: 2025-01-17 12:00:38, RAM: 43.4%, CPU: 11.3%
Time: 2025-01-17 12:00:43, RAM: 43.4%, CPU: 11.3%
Time: 2025-01-17 12:00:48, RAM: 43.4%, CPU: 11.6%
Time: 2025-01-17 12:00:53, RAM: 43.4%, CPU: 11.7%
Time: 2025-01-17 12:00:58, RAM: 43.4%, CPU: 11.2%
Time: 2025-01-17 12:01:03, RAM: 43.4%, CPU: 12.3%
Time: 2025-01-17 12:01:08, RAM: 43.4%, CPU: 10.7%
Time: 2025-01-17 12:01:13, RAM: 43.4%, CPU: 11.9%
Time: 2025-01-17 12:01:18, RAM: 43.4%, CPU: 11.3%
Time: 2025-01-17 12:01:23, RAM: 43.4%, CPU: 11.4%
Time: 2025-01-17 12:01:28, RAM: 43.3%, CPU: 11.5%
Time: 2025-01-17 12:01:33, RAM: 43.3%, CPU: 11.6%
Time: 2025-01-17 12:01:38, RAM: 43.4%, CPU: 11.6%
Time: 2025-01-17 12:01:43, RAM: 43.4%, CPU: 11.2%
